No,日時,操作,アイテム,数量,操作者,同盟ポイント
37,"2025/01/02 12:06:40","取り出す","大豆",300,"ざうるす",-45000
38,"2025/01/02 12:06:45","取り出す","カカオ豆",100,"ざうるす",-32000
39,"2025/01/02 12:13:05","預ける","あんパン",700,"エルマス",262500
40,"2025/01/02 12:13:48","預ける","チョコアイス",50,"エルマス",41450
41,"2025/01/02 12:24:48","取り出す","大豆",500,"シンリ",-75000
42,"2025/01/02 12:46:58","取り出す","小麦",200,"ちひ",-200
43,"2025/01/02 12:47:06","取り出す","テンサイ",200,"ちひ",-2000
44,"2025/01/02 12:47:18","預ける","トマト",50,"ちひ",6000
45,"2025/01/02 12:47:28","預ける","タマネギ",200,"ちひ",3000
46,"2025/01/02 12:48:06","預ける","あんパン",50,"ちひ",18750
47,"2025/01/02 12:48:50","取り出す","ニワトリのエサ",50,"ちひ",-200
48,"2025/01/02 14:01:16","預ける","トマト",300,"ちひ",36000
49,"2025/01/02 14:02:10","預ける","ジャガイモ",300,"ちひ",27000
50,"2025/01/02 16:33:09","取り出す","角砂糖",400,"ikanshi",-30000
51,"2025/01/02 16:45:48","取り出す","カカオ豆",213,"ikanshi",-68160
52,"2025/01/02 18:19:14","取り出す","バナナプリン",10,"ikanshi",-7000
53,"2025/01/02 18:19:45","取り出す","マンゴーケーキ",10,"ikanshi",-30570
54,"2025/01/02 19:43:14","取り出す","大豆",200,"くまくん",-30000
55,"2025/01/02 19:43:27","取り出す","黒糖",200,"くまくん",-4000
56,"2025/01/02 21:20:40","取り出す","大豆",500,"iamy",-75000
57,"2025/01/02 21:20:53","取り出す","小麦粉",50,"iamy",-500
58,"2025/01/02 21:21:38","取り出す","角砂糖",100,"iamy",-7500
59,"2025/01/02 21:21:52","取り出す","キャラメル",20,"iamy",-2000
60,"2025/01/02 21:22:01","取り出す","ピンクシュガー",200,"iamy",-8000
61,"2025/01/02 21:22:13","取り出す","フライドポテト",10,"iamy",-3300
62,"2025/01/02 22:01:59","取り出す","ローストポテト",10,"ikanshi",-4500
63,"2025/01/02 22:02:44","取り出す","スモークチーズ",30,"ikanshi",-5610
64,"2025/01/02 22:02:51","取り出す","バニラアイス",15,"ikanshi",-2310
65,"2025/01/02 22:03:24","取り出す","キャベツ",300,"ikanshi",-900
66,"2025/01/02 22:03:28","取り出す","小麦",300,"ikanshi",-300
67,"2025/01/02 22:12:40","預ける","チョコアイス",200,"マオマオ",165800
68,"2025/01/02 22:12:59","預ける","あんパン",200,"マオマオ",75000
69,"2025/01/02 22:13:21","預ける","ベーコン",300,"マオマオ",24000
70,"2025/01/02 22:14:04","取り出す","はちみつ",20,"マオマオ",-1000
71,"2025/01/02 22:33:38","取り出す","チョコレートケーキ",14,"ikanshi",-12152
72,"2025/01/02 22:36:39","取り出す","コショウ",50,"ikanshi",-3000
73,"2025/01/02 22:38:23","取り出す","コーヒー",1,"ikanshi",-480
74,"2025/01/02 22:38:37","取り出す","ココナッツプリン",2,"ikanshi",-3670
75,"2025/01/02 22:40:00","取り出す","ドライフルーツケーキ",1,"ikanshi",-5110
76,"2025/01/02 22:42:28","預ける","タマネギ",200,"iamy",3000
77,"2025/01/02 22:49:39","預ける","小麦粉",50,"ちひ",500
78,"2025/01/02 22:50:01","預ける","チョコアイス",50,"ちひ",41450
79,"2025/01/02 22:51:10","取り出す","小麦粉",100,"iamy",-1000
80,"2025/01/02 23:04:14","預ける","チョコアイス",100,"エルド",82900
81,"2025/01/02 23:04:22","預ける","あんパン",400,"エルド",150000
82,"2025/01/02 23:04:34","預ける","ベーコン",100,"エルド",8000
83,"2025/01/02 23:05:42","預ける","リンゴ",1200,"エルド",144000
84,"2025/01/02 23:05:48","預ける","ココナッツ",700,"エルド",238000
85,"2025/01/02 23:05:59","預ける","洋ナシ",700,"エルド",140000
86,"2025/01/02 23:06:03","預ける","レモン",900,"エルド",216000
87,"2025/01/02 23:06:10","預ける","モモ",800,"エルド",240000
88,"2025/01/02 23:06:31","預ける","ジャガイモ",700,"エルド",63000
89,"2025/01/02 23:07:25","預ける","クリーム",250,"エルド",6000
90,"2025/01/02 23:07:41","取り出す","角砂糖",100,"エルド",-7500
91,"2025/01/02 23:09:42","預ける","カカオ豆",8000,"エルド",2560000
92,"2025/01/02 23:47:39","取り出す","角砂糖",100,"くまくん",-7500
